group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,יהודי,‏يَهُودِيّ,N/A
שמות עצם,plural,N/A,יהודי,‏يَهُود,N/A
שמות עצם,single,N/A,דרוזי,‏دُرْزِيّ,N/A
שמות עצם,plural,N/A,דרוזי,‏دُرُوز,N/A
שמות עצם,single,N/A,אם,‏أُمّ,N/A
שמות עצם,single,N/A,"משרד, לשכה",‏مَكْتَب,N/A
שמות עצם,plural,N/A,"משרד, לשכה",‏مَكَاتِب,N/A
שמות עצם,single,N/A,ספר,‏كِتَاب,N/A
שמות עצם,plural,N/A,ספר,‏كُتُب,N/A
שמות עצם,single,N/A,סופר,‏كَاتِب,N/A
שמות עצם,plural,N/A,סופר,‏كُتّاب,N/A
שמות עצם,single,N/A,שר,‏وَزِير,N/A
שמות עצם,plural,N/A,שר,‏وُزَرَاء,N/A
שמות עצם,single,N/A,יד (בערבית [כמו בעברית] - מין נקבה),‏يَد,N/A
שמות עצם,single,N/A,נציג,‏مَنْدُوب,N/A
שמות עצם,plural,N/A,נציג,‏مَنْدُوبُونَ,N/A
שמות עצם,single,N/A,נציגה,‏مَنْدُوبَة,N/A
שמות עצם,plural,N/A,נציגה,‏مَنْدُوبَات,N/A
שמות עצם,single,N/A,חנות,‏دُكَّان,N/A
שמות עצם,plural,N/A,חנות,‏دَكَاكِين,N/A
שמות תואר,single,N/A,"בכיר, גדול",‏كَبِير,N/A
שמות תואר,plural,N/A,"בכיר, גדול",‏كِبَار,N/A
שמות תואר,single,N/A,"נכבד, מכובד, נדיב",‏كَرِيم,N/A
שמות תואר,plural,N/A,"נכבד, מכובד, נדיב",‏كِرَام,N/A
מיליות,single,N/A,בין,‏بَيْنَ,N/A
מיליות,single,N/A,...ב / באמצעות (לרחוץ ידיים במים ובסבון),‏بِـ,N/A
מיליות,single,N/A,"מ..., מן (from)",‏مِنْ,N/A
מיליות,single,N/A,"מי (מילת שאלה) (who), מי ש...",‏مَنْ,N/A
כינויי גוף,single,N/A,הוא,‏هُوَ,N/A
כינויי גוף,single,N/A,היא,‏هِيَ,N/A
כינויי גוף,plural,N/A,הם,‏هُمْ,N/A
כינויי גוף,plural,N/A,הן,‏هُنَّ,N/A
תוארי פועל,single,N/A,כאן,‏هُنَا,N/A
תוארי פועל,single,N/A,"שם, יש (there is/are)",‏هُنَاكَ,N/A
פעלים,single,N/A,הלך,‏ذَهَبَ,N/A
פעלים,single,N/A,"עזב, השאיר",‏تَرَكَ,N/A
פעלים,single,N/A,כתב (שם פעולה: כתיבה),‏كَتَبَ,N/A
פעלים,single,N/A,"ציין, הזכיר, זכר",‏ذَكَرَ,N/A
